Stethoscope	ECG
0.168152	0.122986
0.184937	0.129089
0.154114	0.135193
0.0866699	0.140686
-0.00579834	0.145569
-0.0881958	0.150452
-0.132141	0.153809
-0.130005	0.155945
-0.108948	0.158386
-0.0897217	0.161133
-0.0692749	0.164795
-0.0372314	0.168762
0.00793457	0.171814
0.0387573	0.17334
0.0402832	0.17395
0.0317383	0.174561
0.0314331	0.174866
0.0241089	0.174866
0.00366211	0.173645
-0.00518799	0.170593
-0.000610352	0.16571
0.00335693	0.160522
0.00518799	0.154419
0	0.1474
-0.0183105	0.140381
-0.0283813	0.133057
-0.0289917	0.125122
-0.03479	0.116882
-0.0341797	0.108948
-0.0100708	0.101013
0.0326538	0.0924683
0.0595093	0.0842285
0.0543213	0.0775146
0.022583	0.0726318
-0.0140381	0.0686646
-0.0439453	0.0653076
-0.0540161	0.0622559
-0.0332642	0.0592041
0.0088501	0.055542
0.0119019	0.0524902
0.0286865	0.050354
-0.015564	0.0482178
0.0201416	0.045166
0.0921631	0.0408936
0.0787354	0.0369263
-0.0482178	0.0332642
-0.226135	0.0305176
-0.348511	0.0283813
-0.36499	0.0268555
-0.317078	0.0253296
-0.182495	0.0234985
0.31189	0.0213623
0.862732	0.0201416
1.0379	0.0198364
0.802612	0.0201416
0.24231	0.020752
-0.399475	0.0219727
-0.795288	0.0238037
-0.895081	0.0256348
-0.834656	0.0280762
-0.54657	0.0308228
0.26001	0.0332642
0.801086	0.0354004
0.755005	0.0366211
0.440674	0.0375366
0.141907	0.0393677
-0.0570679	0.0415039
-0.157776	0.0436401
-0.184326	0.0454712
-0.160828	0.0469971
-0.125732	0.0491333
-0.119629	0.0515747
-0.137939	0.0540161
-0.137634	0.0570679
-0.10437	0.0604248
-0.06073	0.0631714
-0.027771	0.0646973
-0.0106812	0.0650024
0.00427246	0.0662231
0.0247192	0.0686646
0.0546265	0.0720215
0.11261	0.0747681
0.189514	0.0759888
0.221863	0.0765991
0.19104	0.0772095
0.12085	0.0784302
0.0485229	0.0796509
0.00274658	0.0802612
-0.032959	0.0787354
-0.0753784	0.0769043
-0.115356	0.0750732
-0.146484	0.0741577
-0.158997	0.0741577
-0.141296	0.0732422
-0.0985718	0.0720215
-0.0552368	0.0717163
-0.0354004	0.0723267
-0.0231934	0.072937
-0.0149536	0.072937
-0.0131226	0.0720215
-0.00701904	0.0708008
0.0109863	0.0698853
0.0314331	0.0698853
0.0357056	0.071106
0.0439453	0.0720215
0.067749	0.0717163
0.0650024	0.0717163
-0.00671387	0.0735474
0.0384521	0.0762939
0.161743	0.0802612
0.198975	0.0842285
0.128479	0.0875854
-0.0143433	0.090332
-0.137634	0.0921631
-0.172424	0.0942993
-0.145569	0.0967407
-0.0939941	0.098877
-0.022583	0.100708
0.0289917	0.101624
0.0442505	0.101929
0.0595093	0.103149
0.0793457	0.10498
0.0720215	0.107422
0.0546265	0.111084
0.0549316	0.115356
0.0247192	0.119629
-0.0256348	0.123291
-0.0271606	0.128479
-0.0210571	0.134277
-0.0457764	0.140381
-0.072937	0.147095
-0.0671387	0.152893
-0.0668335	0.158081
-0.0799561	0.162354
-0.0378418	0.1651
0.00671387	0.166626
0.0302124	0.166931
0.0506592	0.1651
0.0588989	0.161743
0.0393677	0.157166
0.00366211	0.152893
0.0100708	0.148926
0.0247192	0.144348
0.017395	0.13855
0.00671387	0.132141
-0.00366211	0.125427
-0.0350952	0.118103
-0.0662231	0.110168
-0.0323486	0.100708
0.0274658	0.0900269
0.0650024	0.0787354
0.0735474	0.067749
0.0695801	0.0579834
0.0222778	0.0497437
-0.0582886	0.0439453
-0.0967407	0.0393677
-0.0918579	0.0366211
-0.0543213	0.0360107
-0.00488281	0.0372314
0.0616455	0.0387573
0.0817871	0.0402832
0.0494385	0.0408936
0.0128174	0.0405884
-0.0271606	0.0396729
-0.0778198	0.0387573
-0.098877	0.038147
-0.0439453	0.0378418
0.0219727	0.0378418
0.0509644	0.038147
0.0524902	0.0384521
0.0534058	0.038147
0.00640869	0.0363159
-0.0695801	0.0320435
-0.0967407	0.0256348
-0.0686646	0.0195313
-0.0192261	0.0140381
0.0427246	0.0106812
0.108032	0.0119019
0.137939	0.0192261
0.101929	0.0369263
0.0427246	0.0695801
0.000610352	0.120239
-0.0393677	0.189514
-0.0717163	0.274658
-0.0747681	0.37262
-0.0494385	0.479736
-0.0292969	0.594482
-0.0167847	0.712891
0.00488281	0.828552
0.0112915	0.930786
-0.0167847	1.00677
-0.0445557	1.04584
-0.0402832	1.04156
-0.022583	0.991821
0.0125122	0.899353
0.0863647	0.769958
0.195923	0.613403
0.271606	0.440979
0.286865	0.265808
0.237122	0.101013
0.0994873	-0.0411987
-0.13916	-0.151367
-0.389709	-0.224609
-0.565491	-0.257874
-0.603333	-0.254822
-0.52002	-0.223389
-0.340881	-0.17395
-0.188904	-0.117798
-0.0579834	-0.0631714
0.223389	-0.0158691
0.65918	0.0204468
1.06445	0.045166
1.22314	0.0592041
1.03271	0.0650024
0.556335	0.0662231
-0.0628662	0.0650024
-0.683594	0.062561
-1.13037	0.0601196
-1.29669	0.0582886
-1.14838	0.0582886
-0.744934	0.0604248
-0.287476	0.0622559
0.0582886	0.0622559
0.323486	0.0616455
0.537415	0.0634766
0.667419	0.0674438
0.726013	0.0717163
0.704956	0.0750732
0.563354	0.078125
0.317078	0.0811768
0.000610352	0.0845337
-0.355835	0.0875854
-0.505066	0.0900269
-0.506897	0.0918579
-0.505981	0.0933838
-0.135803	0.0946045
-0.167542	0.0958252
-0.15686	0.0982666
0.0686646	0.101013
0.280457	0.104065
0.3125	0.107422
0.248108	0.111694
0.145569	0.115967
0.137634	0.119324
0.0378418	0.121765
-0.0177002	0.122986
0.0332642	0.124207
0.00457764	0.124817
-0.124207	0.124512
-0.196533	0.122986
-0.0460815	0.122375
0.0488281	0.122986
0.210266	0.124817
0.32074	0.126648
0.188904	0.128784
-0.112915	0.131836
-0.364075	0.136108
-0.492554	0.140991
-0.490112	0.145569
-0.346985	0.149231
-0.190735	0.152588
-0.0527954	0.15625
0.128479	0.159912
0.295715	0.163879
0.291748	0.167542
